Epoch;Iteration;Learning Rate;Training-loss;Test-loss;Validation-loss;Training-accuracy;Test-accuracy;Validation-Accuracy
0;-1;0.001;0.0;0.0;0.11890861096473045;0.0;0.0;0.3880326449871063
1;-1;0.0010045454545454546;0.0;0.0;0.10993840171666361;0.0;0.0;0.40888485312461853
2;-1;0.0010090909090909091;0.0;0.0;0.10814019313985344;0.0;0.0;0.4179510474205017
3;-1;0.0010136363636363637;0.0;0.0;0.107564340515501;0.0;0.0;0.41976428031921387
4;-1;0.001018181818181818;0.0;0.0;0.10724524983145341;0.0;0.0;0.4188576638698578
5;-1;0.0010227272727272728;0.0;0.0;0.10701237397059915;0.0;0.0;0.4261105954647064
6;-1;0.0010272727272727274;0.0;0.0;0.10682299473770593;0.0;0.0;0.4342701733112335
7;-1;0.0010318181818181817;0.0;0.0;0.10666131049411062;0.0;0.0;0.4342701733112335
8;-1;0.0010363636363636365;0.0;0.0;0.10651920919636408;0.0;0.0;0.43336355686187744
9;-1;0.001040909090909091;0.0;0.0;0.10639166931192644;0.0;0.0;0.4315503239631653
10;-1;0.0010454545454545454;0.0;0.0;0.10627531363292345;0.0;0.0;0.43336355686187744
11;-1;0.0010500000000000002;0.0;0.0;0.10616778582264438;0.0;0.0;0.43245694041252136
12;-1;0.0010545454545454545;0.0;0.0;0.10606740654231606;0.0;0.0;0.4342701733112335
13;-1;0.001059090909090909;0.0;0.0;0.10597295790321429;0.0;0.0;0.4351767897605896
14;-1;0.0010636363636363638;0.0;0.0;0.10588354108910561;0.0;0.0;0.43789663910865784
15;-1;0.0010681818181818182;0.0;0.0;0.10579848030605024;0.0;0.0;0.43699002265930176
16;-1;0.0010727272727272727;0.0;0.0;0.10571725728887217;0.0;0.0;0.43789663910865784
17;-1;0.0010772727272727273;0.0;0.0;0.10563946629073209;0.0;0.0;0.43789663910865784
18;-1;0.0010818181818181818;0.0;0.0;0.10556478291883824;0.0;0.0;0.4388032555580139
19;-1;0.0010863636363636364;0.0;0.0;0.10549294239002535;0.0;0.0;0.43970987200737
20;-1;0.001090909090909091;0.0;0.0;0.10542372423421431;0.0;0.0;0.44152310490608215
21;-1;0.0010954545454545455;0.0;0.0;0.10535694143902177;0.0;0.0;0.44152310490608215
22;-1;0.0011;0.0;0.0;0.10529243267297969;0.0;0.0;0.44152310490608215
23;-1;0.0011045454545454544;0.0;0.0;0.10523005665700434;0.0;0.0;0.4424297511577606
24;-1;0.0011090909090909092;0.0;0.0;0.10516968804521189;0.0;0.0;0.4433363676071167
25;-1;0.0011136363636363635;0.0;0.0;0.10511121437381174;0.0;0.0;0.4442429840564728
26;-1;0.001118181818181818;0.0;0.0;0.1050545337715327;0.0;0.0;0.4442429840564728
27;-1;0.0011227272727272729;0.0;0.0;0.10499955321736551;0.0;0.0;0.4442429840564728
28;-1;0.0011272727272727272;0.0;0.0;0.10494618719503411;0.0;0.0;0.4478694498538971
29;-1;0.0011318181818181818;0.0;0.0;0.10489435663767155;0.0;0.0;0.446962833404541
30;-1;0.0011363636363636363;0.0;0.0;0.10484398808688476;0.0;0.0;0.4478694498538971
31;-1;0.0011409090909090909;0.0;0.0;0.10479501301190988;0.0;0.0;0.45330914855003357
32;-1;0.0011454545454545454;0.0;0.0;0.10474736724973453;0.0;0.0;0.45421576499938965
33;-1;0.00115;0.0;0.0;0.10470099053783823;0.0;0.0;0.45421576499938965
34;-1;0.0011545454545454545;0.0;0.0;0.10465582611889418;0.0;0.0;0.4551223814487457
35;-1;0.001159090909090909;0.0;0.0;0.10461182040232038;0.0;0.0;0.45421576499938965
36;-1;0.0011636363636363637;0.0;0.0;0.10456892267155724;0.0;0.0;0.4551223814487457
37;-1;0.0011681818181818182;0.0;0.0;0.10452708482886215;0.0;0.0;0.45421576499938965
38;-1;0.0011727272727272728;0.0;0.0;0.1044862611715098;0.0;0.0;0.45421576499938965
39;-1;0.0011772727272727273;0.0;0.0;0.10444640819482243;0.0;0.0;0.45421576499938965
