Epoch;Iteration;Learning Rate;Training-loss;Test-loss;Validation-loss;Training-accuracy;Test-accuracy;Validation-Accuracy
24;-1;0.001035702509090909;0.0;0.0;0.10894072044841915;0.0;0.0;0.40435177087783813
25;-1;0.0010371901136363637;0.0;0.0;0.10886589081999626;0.0;0.0;0.40707162022590637
26;-1;0.0010386777181818183;0.0;0.0;0.10879364205565994;0.0;0.0;0.4097914695739746
27;-1;0.0010401653227272727;0.0;0.0;0.10872379855354194;0.0;0.0;0.40888485312461853
28;-1;0.0010416529272727273;0.0;0.0;0.10865621005369668;0.0;0.0;0.4106980860233307
29;-1;0.0010431405318181818;0.0;0.0;0.10859074398850668;0.0;0.0;0.40707162022590637
30;-1;0.0010446281363636362;0.0;0.0;0.10852728110856391;0.0;0.0;0.40707162022590637
31;-1;0.0010461157409090908;0.0;0.0;0.10846571286051036;0.0;0.0;0.40888485312461853
32;-1;0.0010476033454545454;0.0;0.0;0.10840593970923554;0.0;0.0;0.40797823667526245
33;-1;0.00104909095;0.0;0.0;0.10834786997859072;0.0;0.0;0.40707162022590637
34;-1;0.0010505785545454546;0.0;0.0;0.10829141898618164;0.0;0.0;0.40888485312461853
35;-1;0.0010520661590909092;0.0;0.0;0.10823650835334035;0.0;0.0;0.41523119807243347
36;-1;0.0010535537636363636;0.0;0.0;0.10818306542655991;0.0;0.0;0.41523119807243347
37;-1;0.0010550413681818182;0.0;0.0;0.1081310227754814;0.0;0.0;0.41613781452178955
38;-1;0.0010565289727272728;0.0;0.0;0.10808031774767791;0.0;0.0;0.41523119807243347
39;-1;0.0010580165772727272;0.0;0.0;0.10803089206847621;0.0;0.0;0.41976428031921387
40;-1;0.0010595041818181818;0.0;0.0;0.10798269147836637;0.0;0.0;0.4188576638698578
41;-1;0.0010609917863636364;0.0;0.0;0.1079356654029125;0.0;0.0;0.42067089676856995
42;-1;0.001062479390909091;0.0;0.0;0.10788976665142175;0.0;0.0;0.41613781452178955
43;-1;0.0010639669954545456;0.0;0.0;0.10784495114143611;0.0;0.0;0.41976428031921387
44;-1;0.0010654546;0.0;0.0;0.10780117764660442;0.0;0.0;0.41976428031921387
45;-1;0.0010669422045454546;0.0;0.0;0.10775840756585281;0.0;0.0;0.42067089676856995
46;-1;0.0010684298090909092;0.0;0.0;0.10771660471199886;0.0;0.0;0.4224841296672821
47;-1;0.0010699174136363635;0.0;0.0;0.10767573511816687;0.0;0.0;0.4233907461166382
48;-1;0.0010714050181818181;0.0;0.0;0.10763576686050481;0.0;0.0;0.42520397901535034
49;-1;0.0010728926227272727;0.0;0.0;0.10759666989584211;0.0;0.0;0.42520397901535034
50;-1;0.0010743802272727273;0.0;0.0;0.1075584159130428;0.0;0.0;0.4270172119140625
51;-1;0.001075867831818182;0.0;0.0;0.10752097819691228;0.0;0.0;0.4270172119140625
52;-1;0.0010773554363636363;0.0;0.0;0.10748433150360948;0.0;0.0;0.4261105954647064
53;-1;0.001078843040909091;0.0;0.0;0.10744845194660273;0.0;0.0;0.42792385816574097
54;-1;0.0010803306454545455;0.0;0.0;0.10741331689228108;0.0;0.0;0.4270172119140625
55;-1;0.0010818182499999999;0.0;0.0;0.10737890486441203;0.0;0.0;0.4306437075138092
56;-1;0.0010833058545454545;0.0;0.0;0.10734519545669462;0.0;0.0;0.4315503239631653
57;-1;0.001084793459090909;0.0;0.0;0.10731216925272706;0.0;0.0;0.4315503239631653
58;-1;0.0010862810636363637;0.0;0.0;0.10727980775275249;0.0;0.0;0.4315503239631653
59;-1;0.001087768668181818;0.0;0.0;0.10724809330661039;0.0;0.0;0.4315503239631653
