Epoch;Iteration;Learning Rate;Training-loss;Test-loss;Validation-loss;Training-accuracy;Test-accuracy;Validation-Accuracy
0;-1;0.001;0.0;0.0;0.2261220043350639;0.0;0.0;0.271078884601593
1;-1;0.0010014876045454546;0.0;0.0;0.10812496458502553;0.0;0.0;0.43699002265930176
2;-1;0.001002975209090909;0.0;0.0;0.10666800005439057;0.0;0.0;0.4360834062099457
3;-1;0.0010044628136363636;0.0;0.0;0.10605254814602631;0.0;0.0;0.4433363676071167
4;-1;0.0010059504181818182;0.0;0.0;0.10569132107569615;0.0;0.0;0.45421576499938965
5;-1;0.0010074380227272728;0.0;0.0;0.10543669851715148;0.0;0.0;0.46600180864334106
6;-1;0.0010089256272727274;0.0;0.0;0.10523651321837466;0.0;0.0;0.4632819592952728
7;-1;0.0010104132318181818;0.0;0.0;0.10506848226397171;0.0;0.0;0.4605621099472046
8;-1;0.0010119008363636364;0.0;0.0;0.10492178384616518;0.0;0.0;0.4696282744407654
9;-1;0.001013388440909091;0.0;0.0;0.10479060912873638;0.0;0.0;0.472348153591156
10;-1;0.0010148760454545454;0.0;0.0;0.10467157669396203;0.0;0.0;0.472348153591156
11;-1;0.00101636365;0.0;0.0;0.1045625864224398;0.0;0.0;0.472348153591156
12;-1;0.0010178512545454545;0.0;0.0;0.10446226658832242;0.0;0.0;0.472348153591156
13;-1;0.0010193388590909091;0.0;0.0;0.10436968356127307;0.0;0.0;0.472348153591156
14;-1;0.0010208264636363637;0.0;0.0;0.10428417432510191;0.0;0.0;0.47960108518600464
15;-1;0.0010223140681818181;0.0;0.0;0.10420524006967885;0.0;0.0;0.48413416743278503
16;-1;0.0010238016727272727;0.0;0.0;0.10413247342186105;0.0;0.0;0.48776066303253174
17;-1;0.0010252892772727273;0.0;0.0;0.10406550749510793;0.0;0.0;0.4904805123806
18;-1;0.001026776881818182;0.0;0.0;0.10400398181762843;0.0;0.0;0.49229374527931213
19;-1;0.0010282644863636363;0.0;0.0;0.10394752270050474;0.0;0.0;0.48776066303253174
20;-1;0.001029752090909091;0.0;0.0;0.10389573592905232;0.0;0.0;0.48776066303253174
21;-1;0.0010312396954545455;0.0;0.0;0.10384820912564231;0.0;0.0;0.48685404658317566
22;-1;0.0010327273;0.0;0.0;0.10380452058802973;0.0;0.0;0.4932003617286682
23;-1;0.0010342149045454545;0.0;0.0;0.10376425130456458;0.0;0.0;0.4904805123806
24;-1;0.001035702509090909;0.0;0.0;0.10372699727924861;0.0;0.0;0.4932003617286682
25;-1;0.0010371901136363637;0.0;0.0;0.10369238010620345;0.0;0.0;0.49138712882995605
26;-1;0.0010386777181818183;0.0;0.0;0.10366005465608216;0.0;0.0;0.4932003617286682
27;-1;0.0010401653227272727;0.0;0.0;0.10362971355092897;0.0;0.0;0.49229374527931213
28;-1;0.0010416529272727273;0.0;0.0;0.10360108868381916;0.0;0.0;0.4932003617286682
29;-1;0.0010431405318181818;0.0;0.0;0.10357395036207671;0.0;0.0;0.4932003617286682
30;-1;0.0010446281363636362;0.0;0.0;0.10354810476183346;0.0;0.0;0.4941069781780243
31;-1;0.0010461157409090908;0.0;0.0;0.10352339034726206;0.0;0.0;0.4941069781780243
