Epoch;Iteration;Learning Rate;Training-loss;Test-loss;Validation-loss;Training-accuracy;Test-accuracy;Validation-Accuracy
0;-1;0.001;0.0;0.0;0.14317793278126845;0.0;0.0;0.36990028619766235
1;-1;0.0010014876045454546;0.0;0.0;0.1363638338480524;0.0;0.0;0.37352675199508667
2;-1;0.001002975209090909;0.0;0.0;0.13273383500683705;0.0;0.0;0.38259291648864746
3;-1;0.0010044628136363636;0.0;0.0;0.1308446169278942;0.0;0.0;0.377153217792511
4;-1;0.0010059504181818182;0.0;0.0;0.12935929143641836;0.0;0.0;0.3635539412498474
5;-1;0.0010074380227272728;0.0;0.0;0.12733413773758887;0.0;0.0;0.377153217792511
6;-1;0.0010089256272727274;0.0;0.0;0.1231546697552192;0.0;0.0;0.384406179189682
7;-1;0.0010104132318181818;0.0;0.0;0.11580130070224541;0.0;0.0;0.3889392614364624
8;-1;0.0010119008363636364;0.0;0.0;0.11060199822125122;0.0;0.0;0.39528557658195496
9;-1;0.001013388440909091;0.0;0.0;0.10841553647987758;0.0;0.0;0.3816863000392914
10;-1;0.0010148760454545454;0.0;0.0;0.10751788516225975;0.0;0.0;0.37080690264701843
11;-1;0.00101636365;0.0;0.0;0.10709939240290682;0.0;0.0;0.3680870234966278
12;-1;0.0010178512545454545;0.0;0.0;0.1068696316088003;0.0;0.0;0.3807796835899353
13;-1;0.0010193388590909091;0.0;0.0;0.1067209670899005;0.0;0.0;0.3925657272338867
14;-1;0.0010208264636363637;0.0;0.0;0.10661023361821292;0.0;0.0;0.4052583873271942
15;-1;0.0010223140681818181;0.0;0.0;0.10651877248782066;0.0;0.0;0.40707162022590637
16;-1;0.0010238016727272727;0.0;0.0;0.10643799722931481;0.0;0.0;0.4097914695739746
17;-1;0.0010252892772727273;0.0;0.0;0.1063637463707892;0.0;0.0;0.41160470247268677
18;-1;0.001026776881818182;0.0;0.0;0.1062939092858956;0.0;0.0;0.4134179651737213
19;-1;0.0010282644863636363;0.0;0.0;0.1062273666830755;0.0;0.0;0.41523119807243347
20;-1;0.001029752090909091;0.0;0.0;0.10616349464650045;0.0;0.0;0.41704443097114563
21;-1;0.0010312396954545455;0.0;0.0;0.10610192363791582;0.0;0.0;0.4179510474205017
22;-1;0.0010327273;0.0;0.0;0.10604241797104366;0.0;0.0;0.421577513217926
23;-1;0.0010342149045454545;0.0;0.0;0.10598481419503346;0.0;0.0;0.421577513217926
24;-1;0.001035702509090909;0.0;0.0;0.1059289890548091;0.0;0.0;0.421577513217926
